 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  2.10154E+06,  0.00000E+00,  0.00000E+00,  9.27536E+05,  1.00000E-01, Mon Jan  6 16:21:37 2020
   2,  3.59477E+05, -8.28946E+01, -8.28946E+01,  3.07976E+05,  1.00000E-01, Mon Jan  6 16:21:38 2020
   3,  1.48315E+05, -9.29426E+01, -1.00479E+01,  1.56416E+05,  1.00000E-01, Mon Jan  6 16:21:38 2020
   4,  4.32465E+06,  1.05784E+02,  1.98727E+02,  8.02660E+05,  1.00000E-01, Mon Jan  6 16:21:38 2020
   5,  1.09924E+08,  5.13065E+03,  5.02487E+03,  2.79323E+07,  1.00000E-01, Mon Jan  6 16:21:39 2020
   6,  2.87078E+07,  1.26604E+03, -3.86461E+03,  1.23296E+07,  1.00000E-01, Mon Jan  6 16:21:39 2020
   7,  2.14522E+07,  9.20782E+02, -3.45254E+02,  6.23788E+06,  1.00000E-01, Mon Jan  6 16:21:40 2020
   8,  1.09970E+07,  4.23281E+02, -4.97501E+02,  4.57462E+06,  1.00000E-01, Mon Jan  6 16:21:40 2020
   9,  6.67763E+06,  2.17749E+02, -2.05532E+02,  3.16419E+06,  1.00000E-01, Mon Jan  6 16:21:40 2020
  10,  6.64548E+06,  2.16219E+02, -1.52962E+00,  2.98347E+06,  1.00000E-01, Mon Jan  6 16:21:41 2020
  11,  4.62329E+06,  1.19995E+02, -9.62240E+01,  2.38147E+06,  1.00000E-01, Mon Jan  6 16:21:41 2020
  12,  4.25772E+06,  1.02600E+02, -1.73951E+01,  2.31822E+06,  1.00000E-01, Mon Jan  6 16:21:41 2020
  13,  3.08318E+06,  4.67102E+01, -5.58896E+01,  1.86303E+06,  1.00000E-01, Mon Jan  6 16:21:42 2020
  14,  2.95691E+06,  4.07018E+01, -6.00844E+00,  1.86650E+06,  1.00000E-01, Mon Jan  6 16:21:42 2020
  15,  1.83953E+06, -1.24678E+01, -5.31696E+01,  1.30790E+06,  1.00000E-01, Mon Jan  6 16:21:42 2020
  16,  1.62967E+06, -2.24539E+01, -9.98609E+00,  1.23859E+06,  1.00000E-01, Mon Jan  6 16:21:43 2020
  17,  6.57012E+05, -6.87367E+01, -4.62828E+01,  4.55151E+05,  1.00000E-01, Mon Jan  6 16:21:43 2020
  18,  1.36900E+05, -9.34857E+01, -2.47491E+01,  1.27603E+05,  1.00000E-01, Mon Jan  6 16:21:43 2020
  19,  9.24759E+04, -9.55996E+01, -2.11388E+00,  5.20748E+04,  1.00000E-01, Mon Jan  6 16:21:44 2020
  20,  7.31059E+04, -9.65213E+01, -9.21701E-01,  2.81711E+04,  1.00000E-01, Mon Jan  6 16:21:44 2020
