 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  1.25325E+07,  0.00000E+00,  0.00000E+00,  1.56602E+06,  2.00000E-01, Thu Feb  6 18:15:50 2020
   2,  1.29941E+07,  3.68334E+00,  3.68334E+00,  1.60291E+06,  2.00000E-01, Thu Feb  6 18:15:51 2020
   3,  2.32381E+04, -9.98146E+01, -1.03498E+02,  9.34094E+03,  2.00000E-01, Thu Feb  6 18:15:51 2020
   4,  7.76929E+04, -9.93801E+01,  4.34508E-01,  2.65985E+04,  2.00000E-01, Thu Feb  6 18:15:52 2020
